userId,movieId,rating,timestamp
1,1,2.0,1795139886
1,2,,1372396043
1,3,4.0,1179963197
1,4,3.0,1894086735
1,5,1.0,1528048343
1,6,1.0,1036045138
1,7,1.0,1997398279
1,8,5.0,1596783070
1,9,4.0,1242928276
1,10,4.0,1038808656
1,11,1.0,1681969366
1,12,,1962516452
1,13,5.0,1825821557
1,14,2.0,1589405135
1,15,1.0,1426042053
1,16,1.0,1990319815
1,17,2.0,1658692561
1,18,3.0,1629921035
1,19,3.0,1950087310
1,20,2.0,1829681210
1,21,4.0,1221602280
1,22,1.0,1833478508
1,23,2.0,1729789977
1,24,2.0,1169336878
1,25,3.0,1189689119
1,26,4.0,1882938633
1,27,1.0,1379089935
1,28,3.0,1752685766
1,29,3.0,1775565206
1,30,1.0,1239687449
1,31,4.0,1291822548
1,32,1.0,1958680149
1,33,1.0,1710766841
1,34,,1269959558
1,35,,1145796877
1,36,5.0,1517640526
1,37,2.0,1847913588
1,38,1.0,1992239110
1,39,4.0,1203362440
1,40,3.0,1827206514
1,41,1.0,1749025967
1,42,3.0,1495132487
1,43,1.0,1949437937
1,44,,1737715002
1,45,2.0,1834368214
1,46,4.0,1194741724
1,47,2.0,1962992721
1,48,3.0,1481219549
1,49,3.0,1235719027
1,50,1.0,1406086566
2,1,,1881085410
2,2,4.0,1296784273
2,3,,1096355770
2,4,5.0,1338939369
2,5,,1620823142
2,6,,1158946576
2,7,,1644963853
2,8,,1413475998
2,9,1.0,1492620951
2,10,,1987880418
2,11,2.0,1260606571
2,12,,1517830843
2,13,,1992403244
2,14,,1330511457
2,15,2.0,1579813506
2,16,,1843053860
2,17,,1129987754
2,18,5.0,1386010023
2,19,,1820476889
2,20,,1965365942
2,21,,1663509974
2,22,1.0,1280703339
2,23,1.0,1311074854
2,24,,1280419854
2,25,,1231829367
2,26,4.0,1169613808
2,27,4.0,1164933123
2,28,,1174904668
2,29,,1694303701
2,30,,1295289752
2,31,,1540699345
2,32,,1086621344
2,33,,1584019983
2,34,,1759423468
2,35,2.0,1497628585
2,36,,1544023659
2,37,,1719433153
2,38,4.0,1104800566
2,39,,1910287586
2,40,,1515820713
2,41,,1091351453
2,42,,1001020154
2,43,,1535589622
2,44,,1796600076
2,45,,1124284044
2,46,,1575370513
2,47,,1812039583
2,48,,1784217695
2,49,,1209522402
2,50,,1300775290
3,1,,1040739629
3,2,,1432553971
3,3,,1226275356
3,4,,1073823165
3,5,,1380291056
3,6,,1652538332
3,7,,1161476925
3,8,4.0,1987308276
3,9,,1986903275
3,10,,1547631800
3,11,,1346849551
3,12,1.0,1531189175
3,13,,1093144811
3,14,,1636889464
3,15,,1078483721
3,16,5.0,1393845661
3,17,,1720552856
3,18,,1370958334
3,19,,1735972710
3,20,,1096719187
3,21,,1997599808
3,22,5.0,1014372528
3,23,2.0,1474482690
3,24,,1933342636
3,25,,1449348749
3,26,,1201875831
3,27,,1159940253
3,28,,1441616369
3,29,1.0,1198891843
3,30,3.0,1925794449
3,31,3.0,1382718244
3,32,,1180788888
3,33,,1117105071
3,34,2.0,1076767936
3,35,,1688651188
3,36,2.0,1193705934
3,37,,1763529800
3,38,,1470159758
3,39,2.0,1576928560
3,40,,1608296824
3,41,,1771579223
3,42,,1534455235
3,43,,1937393291
3,44,2.0,1886548666
3,45,,1858826745
3,46,,1206112548
3,47,,1156100668
3,48,3.0,1038580196
3,49,,1384017322
3,50,,1380337531
4,1,,1719753925
4,2,2.0,1997851942
4,3,1.0,1554558903
4,4,3.0,1576380222
4,5,,1836367661
4,6,2.0,1432926039
4,7,4.0,1933732362
4,8,4.0,1660239421
